Noise_Type,Noise_Rate,Model,Mean_Accuracy,Std_Accuracy,Mean_F1,Std_F1
asymmetric,0.0,Decision Tree,0.9138798323241734,0.023554576761271984,0.9323206003514534,0.016592999118011955
asymmetric,0.0,KNN,0.9630957925787922,0.01999675024369071,0.9711828811529756,0.015380171124763503
asymmetric,0.0,LightGBM,0.9666356155876417,0.014371337900372913,0.9737491997068547,0.011022579847537049
asymmetric,0.0,Logistic Regression,0.9736686849868033,0.01858979957686627,0.9794339645403476,0.014227476627036776
asymmetric,0.0,Random Forest,0.956078248719143,0.01235114973001745,0.9650241056901425,0.009864950302857379
asymmetric,0.0,SVM,0.9771619313771154,0.018178759343269107,0.9819902151209142,0.014343510240803966
asymmetric,0.1,Decision Tree,0.864710448688092,0.021779473964809157,0.885474922442828,0.0192247216212212
asymmetric,0.1,KNN,0.9455519329296692,0.01678469875142707,0.9563107570367354,0.013437099901128223
asymmetric,0.1,LightGBM,0.952585002328831,0.02106776239765599,0.9620178755749628,0.016656062735922742
asymmetric,0.1,Logistic Regression,0.9596180717279925,0.020150735834619144,0.9674499800758793,0.016463094411692775
asymmetric,0.1,Random Forest,0.9543238627542306,0.015640160650823347,0.9633691937214636,0.012744665015652955
asymmetric,0.1,SVM,0.971914299021891,0.015667858026398307,0.9775156129425632,0.012772165657420002
asymmetric,0.2,Decision Tree,0.8207576463282098,0.028677577434697347,0.8405755355707294,0.02570295055623579
asymmetric,0.2,KNN,0.9103555348548362,0.0190995216109526,0.9248550782491766,0.018171141614779927
asymmetric,0.2,LightGBM,0.9296848315478963,0.020648704899847437,0.9417615343102922,0.017482993261190908
asymmetric,0.2,Logistic Regression,0.9227293898462972,0.04932315096129929,0.9345915754371626,0.043352268497881014
asymmetric,0.2,Random Forest,0.9402732494954199,0.015594726294105637,0.950612892981899,0.014079326589443261
asymmetric,0.2,SVM,0.9631423691973297,0.0226815991002012,0.9699914689772701,0.019193046399816685
asymmetric,0.3,Decision Tree,0.7468095016301817,0.0458891851564158,0.7547391784772769,0.056163944728922256
asymmetric,0.3,KNN,0.8382704548983078,0.041189325088412755,0.854393359029413,0.04360634900796692
asymmetric,0.3,LightGBM,0.8417792268281323,0.01918962336238682,0.8581149223866117,0.019635727640063615
asymmetric,0.3,Logistic Regression,0.868172643999379,0.049679494593558415,0.8820057509852577,0.04704143419224423
asymmetric,0.3,Random Forest,0.871696941468716,0.01825335706282297,0.8882830612722706,0.017743118700285797
asymmetric,0.3,SVM,0.9420276354603322,0.02670039611902191,0.9517152022275333,0.024123047517187433
symmetric,0.0,Decision Tree,0.9156342182890855,0.023731702560137097,0.9340242264449115,0.01680479079418594
symmetric,0.0,KNN,0.9630957925787922,0.01999675024369071,0.9711828811529756,0.015380171124763503
symmetric,0.0,LightGBM,0.9666356155876417,0.014371337900372913,0.9737491997068547,0.011022579847537049
symmetric,0.0,Logistic Regression,0.9736686849868033,0.01858979957686627,0.9794339645403476,0.014227476627036776
symmetric,0.0,Random Forest,0.9543238627542306,0.01435761988492689,0.963922382226596,0.010637832819561863
symmetric,0.0,SVM,0.9771619313771154,0.018178759343269107,0.9819902151209142,0.014343510240803966
symmetric,0.1,Decision Tree,0.8258965999068467,0.052317480344521744,0.8594784415234195,0.04068638945709207
symmetric,0.1,KNN,0.9543238627542306,0.022669985887692288,0.963923305879004,0.01764679664739772
symmetric,0.1,LightGBM,0.9384878124514827,0.01387176764150762,0.9520001502588613,0.00996734744866668
symmetric,0.1,Logistic Regression,0.9508306163639186,0.014587874090776928,0.9616139656730789,0.011665259121655312
symmetric,0.1,Random Forest,0.9455053563111319,0.013086197188226898,0.9571207298840798,0.009916445573956758
symmetric,0.1,SVM,0.964834653004192,0.027770488302442515,0.9726552454922676,0.021391903397061086
symmetric,0.2,Decision Tree,0.755612482533768,0.06086913447987644,0.7977749035166916,0.05163738794262888
symmetric,0.2,KNN,0.8998757956839001,0.041775617893009195,0.9197775524753942,0.03378082731897773
symmetric,0.2,LightGBM,0.8611861512187549,0.012686180448751175,0.8903582453956351,0.010087337113861736
symmetric,0.2,Logistic Regression,0.9244837758112094,0.02187844077612224,0.9415080343013692,0.017142228963189995
symmetric,0.2,Random Forest,0.9104021114733737,0.031165823929777885,0.9291074582324331,0.023485642052132227
symmetric,0.2,SVM,0.9455364073901569,0.020894587513967163,0.9574209615012403,0.01635706906217042
symmetric,0.3,Decision Tree,0.6748175749107281,0.045203988717453236,0.7276837486404973,0.035048824870798884
symmetric,0.3,KNN,0.7997360658282875,0.043212990258537164,0.8383215939154669,0.04334734913868968
symmetric,0.3,LightGBM,0.7749573047663406,0.037273745526306835,0.820204246684429,0.02433451329676806
symmetric,0.3,Logistic Regression,0.8840242198416395,0.00700952748429997,0.9112268480851577,0.006086425008996333
symmetric,0.3,Random Forest,0.8646483465300419,0.020431028962206194,0.89280058559773,0.01551452075852714
symmetric,0.3,SVM,0.9138332557056359,0.04376016597559831,0.935278634967964,0.030164756633716535
