Noise_Type,Noise_Rate,Fold,Model,Accuracy,F1
asymmetric,0.0,3,Logistic Regression,0.9649122807017544,0.972972972972973
asymmetric,0.0,3,Decision Tree,0.9385964912280702,0.9517241379310345
asymmetric,0.0,3,Random Forest,0.9649122807017544,0.9726027397260274
asymmetric,0.0,3,SVM,0.9736842105263158,0.9795918367346939
asymmetric,0.0,3,KNN,0.9385964912280702,0.9523809523809523
asymmetric,0.0,3,LightGBM,0.956140350877193,0.9659863945578231
asymmetric,0.0,4,Logistic Regression,0.9912280701754386,0.993006993006993
asymmetric,0.0,4,Decision Tree,0.9298245614035088,0.9428571428571428
asymmetric,0.0,4,Random Forest,0.9473684210526315,0.9571428571428572
asymmetric,0.0,4,SVM,0.9912280701754386,0.993006993006993
asymmetric,0.0,4,KNN,0.9824561403508771,0.9859154929577465
asymmetric,0.0,4,LightGBM,0.9736842105263158,0.9790209790209791
asymmetric,0.0,5,Logistic Regression,0.9911504424778761,0.993006993006993
asymmetric,0.0,5,Decision Tree,0.911504424778761,0.9305555555555556
asymmetric,0.0,5,Random Forest,0.9646017699115044,0.9722222222222222
asymmetric,0.0,5,SVM,0.9823008849557522,0.9861111111111112
asymmetric,0.0,5,KNN,0.9646017699115044,0.9726027397260274
asymmetric,0.0,5,LightGBM,0.9823008849557522,0.9861111111111112
asymmetric,0.1,1,Logistic Regression,0.9649122807017544,0.9714285714285714
asymmetric,0.1,1,Decision Tree,0.8596491228070176,0.8787878787878788
asymmetric,0.1,1,Random Forest,0.9736842105263158,0.9784172661870504
asymmetric,0.1,1,SVM,0.9824561403508771,0.9859154929577465
asymmetric,0.1,1,KNN,0.9473684210526315,0.9571428571428572
asymmetric,0.1,1,LightGBM,0.9649122807017544,0.9714285714285714
asymmetric,0.1,2,Logistic Regression,0.9736842105263158,0.9790209790209791
asymmetric,0.1,2,Decision Tree,0.8333333333333334,0.8592592592592593
asymmetric,0.1,2,Random Forest,0.9385964912280702,0.951048951048951
asymmetric,0.1,2,SVM,0.956140350877193,0.965034965034965
asymmetric,0.1,2,KNN,0.9210526315789473,0.9361702127659575
asymmetric,0.1,2,LightGBM,0.9298245614035088,0.9436619718309859
asymmetric,0.1,3,Logistic Regression,0.9385964912280702,0.951048951048951
asymmetric,0.1,3,Decision Tree,0.8596491228070176,0.8805970149253731
asymmetric,0.1,3,Random Forest,0.956140350877193,0.9655172413793104
asymmetric,0.1,3,SVM,0.9736842105263158,0.9795918367346939
asymmetric,0.1,3,KNN,0.9385964912280702,0.9523809523809523
asymmetric,0.1,3,LightGBM,0.9298245614035088,0.9444444444444444
asymmetric,0.1,4,Logistic Regression,0.9385964912280702,0.9496402877697842
asymmetric,0.1,4,Decision Tree,0.8859649122807017,0.9022556390977443
asymmetric,0.1,4,Random Forest,0.9385964912280702,0.9496402877697842
asymmetric,0.1,4,SVM,0.956140350877193,0.9640287769784173
asymmetric,0.1,4,KNN,0.956140350877193,0.9640287769784173
asymmetric,0.1,4,LightGBM,0.9649122807017544,0.971830985915493
asymmetric,0.1,5,Logistic Regression,0.9823008849557522,0.9861111111111112
asymmetric,0.1,5,Decision Tree,0.8849557522123894,0.9064748201438849
asymmetric,0.1,5,Random Forest,0.9646017699115044,0.9722222222222222
asymmetric,0.1,5,SVM,0.9911504424778761,0.993006993006993
asymmetric,0.1,5,KNN,0.9646017699115044,0.971830985915493
asymmetric,0.1,5,LightGBM,0.9734513274336283,0.9787234042553191
asymmetric,0.2,1,Logistic Regression,0.9122807017543859,0.9253731343283582
asymmetric,0.2,1,Decision Tree,0.8596491228070176,0.875
asymmetric,0.2,1,Random Forest,0.9298245614035088,0.9402985074626866
asymmetric,0.2,1,SVM,0.9649122807017544,0.9714285714285714
asymmetric,0.2,1,KNN,0.9122807017543859,0.9253731343283582
asymmetric,0.2,1,LightGBM,0.956140350877193,0.9635036496350365
asymmetric,0.2,2,Logistic Regression,0.9649122807017544,0.9710144927536232
asymmetric,0.2,2,Decision Tree,0.7807017543859649,0.8062015503875969
asymmetric,0.2,2,Random Forest,0.956140350877193,0.9645390070921985
asymmetric,0.2,2,SVM,0.956140350877193,0.965034965034965
