Noise_Type,Noise_Rate,Fold,Model,Accuracy,F1
symmetric,0.1,1,KNN,0.812672740300952,0.5954907161803713
symmetric,0.1,1,LightGBM,0.8703040229296755,0.7037643207855974
symmetric,0.1,2,Logistic Regression,0.8242399426758112,0.5159289540456724
symmetric,0.1,2,Decision Tree,0.7437813491657284,0.5180050067398421
symmetric,0.1,2,Random Forest,0.8475790766711024,0.6534791715150104
symmetric,0.1,2,SVM,0.8485003582761798,0.6209016393442623
symmetric,0.1,2,KNN,0.8124680110553792,0.5875731652408824
symmetric,0.1,2,LightGBM,0.8741938785955574,0.7019160805238903
symmetric,0.1,3,Logistic Regression,0.8202293202293203,0.5196936542669585
symmetric,0.1,3,Decision Tree,0.7361793611793612,0.5248017702378757
symmetric,0.1,3,Random Forest,0.8464373464373465,0.6572212065813529
symmetric,0.1,3,SVM,0.8455159705159705,0.6178779437832362
symmetric,0.1,3,KNN,0.8116298116298116,0.5977262789680805
symmetric,0.1,3,LightGBM,0.8718263718263718,0.7026128266033255
symmetric,0.1,4,Logistic Regression,0.8271908271908271,0.5313714602998334
symmetric,0.1,4,Decision Tree,0.735053235053235,0.5186011904761905
symmetric,0.1,4,Random Forest,0.8530917280917281,0.6718499885662017
symmetric,0.1,4,SVM,0.8508394758394758,0.6442002442002442
symmetric,0.1,4,KNN,0.8203316953316954,0.6178967994774657
symmetric,0.1,4,LightGBM,0.8726453726453727,0.706880301602262
symmetric,0.1,5,Logistic Regression,0.8164414414414415,0.49818080044780294
symmetric,0.1,5,Decision Tree,0.7416052416052417,0.5188715211589783
symmetric,0.1,5,Random Forest,0.8492014742014742,0.655760691750409
symmetric,0.1,5,SVM,0.8464373464373465,0.6179317371370352
symmetric,0.1,5,KNN,0.8096846846846847,0.5880788832262354
symmetric,0.1,5,LightGBM,0.8685503685503686,0.6923814087206517
symmetric,0.2,1,Logistic Regression,0.8160507728529021,0.4792813677195016
symmetric,0.2,1,Decision Tree,0.6742757702937865,0.45569620253164556
symmetric,0.2,1,Random Forest,0.8256730473948204,0.6243106110743437
symmetric,0.2,1,SVM,0.8420513870406388,0.6086735987826528
symmetric,0.2,1,KNN,0.7684512232572422,0.5339925834363412
symmetric,0.2,1,LightGBM,0.86539052103593,0.6926852068240243
symmetric,0.2,2,Logistic Regression,0.8160507728529021,0.4753284671532847
symmetric,0.2,2,Decision Tree,0.6656771419797318,0.43767217630853994
symmetric,0.2,2,Random Forest,0.8291534445695568,0.625364758698092
symmetric,0.2,2,SVM,0.8431773978912888,0.5974776668418287
symmetric,0.2,2,KNN,0.7736718190193469,0.540809968847352
symmetric,0.2,2,LightGBM,0.8698945644385301,0.6888616891064872
symmetric,0.2,3,Logistic Regression,0.8131654381654382,0.4909344490934449
symmetric,0.2,3,Decision Tree,0.6728091728091729,0.45848864791596067
symmetric,0.2,3,Random Forest,0.8288288288288288,0.6307420494699647
symmetric,0.2,3,SVM,0.842956592956593,0.6153460381143431
symmetric,0.2,3,KNN,0.7711916461916462,0.5478454379931216
symmetric,0.2,3,LightGBM,0.8648648648648649,0.6864608076009501
symmetric,0.2,4,Logistic Regression,0.8207411957411958,0.5049476957873904
symmetric,0.2,4,Decision Tree,0.6745495495495496,0.45944567250467605
symmetric,0.2,4,Random Forest,0.8368140868140869,0.6487439400617012
